x0 (Electricity (University of Twente)),y0 (kWh),x1 (Electricity (Bastille)),y1 (kWh),x2 (Electricity (Sports Center)),y2 (kWh)
2026-08-07 20:30:00,9414.710000000001,2026-08-07 20:30:00,87,2026-08-07 20:30:00,89
2026-08-08 00:00:00,55060.159999999996,2026-08-08 00:00:00,641,2026-08-08 00:00:00,619
2026-08-09 00:00:00,55606.56,2026-08-09 00:00:00,665,2026-08-09 00:00:00,583
2026-08-10 00:00:00,74823.12,2026-08-10 00:00:00,1049,2026-08-10 00:00:00,976
2026-08-11 00:00:00,70128.54000000001,2026-08-11 00:00:00,943,2026-08-11 00:00:00,987
2026-08-12 00:00:00,71115.61000000002,2026-08-12 00:00:00,952,2026-08-12 00:00:00,955
2026-08-13 00:00:00,76367.52000000002,2026-08-13 00:00:00,1121,2026-08-13 00:00:00,949
2026-08-14 00:00:00,84271.51,2026-08-14 00:00:00,1155,2026-08-14 00:00:00,829
2026-08-15 00:00:00,66145.5,2026-08-15 00:00:00,741,2026-08-15 00:00:00,697
2026-08-16 00:00:00,57457.65000000001,2026-08-16 00:00:00,732,2026-08-16 00:00:00,726
2026-08-17 00:00:00,69316.59000000003,2026-08-17 00:00:00,1260,2026-08-17 00:00:00,1159
2026-08-18 00:00:00,70255.09,2026-08-18 00:00:00,1621,2026-08-18 00:00:00,958
2026-08-19 00:00:00,72641.74000000002,2026-08-19 00:00:00,1544,2026-08-19 00:00:00,1400
2026-08-20 00:00:00,71823.43999999999,2026-08-20 00:00:00,1637,2026-08-20 00:00:00,1452
2026-08-21 00:00:00,69522.29000000001,2026-08-21 00:00:00,1716,2026-08-21 00:00:00,1341
2026-08-22 00:00:00,56517.67,2026-08-22 00:00:00,1698,2026-08-22 00:00:00,1135
2026-08-23 00:00:00,53025.72,2026-08-23 00:00:00,1544,2026-08-23 00:00:00,993
2026-08-24 00:00:00,67480.23,2026-08-24 00:00:00,1569,2026-08-24 00:00:00,1372
2026-08-25 00:00:00,73320.27,2026-08-25 00:00:00,1634,2026-08-25 00:00:00,1108
2026-08-26 00:00:00,74194.1,2026-08-26 00:00:00,1660,2026-08-26 00:00:00,1583
2026-08-27 00:00:00,76443.38,2026-08-27 00:00:00,1355,2026-08-27 00:00:00,1522
2026-08-28 00:00:00,81045.86,2026-08-28 00:00:00,1278,2026-08-28 00:00:00,1449
2026-08-29 00:00:00,54042.12,2026-08-29 00:00:00,629,2026-08-29 00:00:00,1034
2026-08-30 00:00:00,55242.749999999985,2026-08-30 00:00:00,606,2026-08-30 00:00:00,935
2026-08-31 00:00:00,73649.53,2026-08-31 00:00:00,1039,2026-08-31 00:00:00,1570
2026-09-01 00:00:00,72808.6,2026-09-01 00:00:00,1045,2026-09-01 00:00:00,1630
2026-09-02 00:00:00,72919.47,2026-09-02 00:00:00,1058,2026-09-02 00:00:00,1623
2026-09-03 00:00:00,77611.49,2026-09-03 00:00:00,1078,2026-09-03 00:00:00,1670
2026-09-04 00:00:00,76472.87,2026-09-04 00:00:00,1081,2026-09-04 00:00:00,1372
2026-09-05 00:00:00,52442.50000000001,2026-09-05 00:00:00,729,2026-09-05 00:00:00,967
2026-09-06 00:00:00,43851.45,2026-09-06 00:00:00,793,2026-09-06 00:00:00,882
2026-09-07 00:00:00,69248.95999999999,2026-09-07 00:00:00,1059,2026-09-07 00:00:00,1436
2026-09-08 00:00:00,9553.289999999999,2026-09-08 00:00:00,68,2026-09-08 00:00:00,101
