x0 (Electricity (Cubicus)),y0 (kg CO₂e),x1 (Electricity (Cubicus)),y1 (kWh),x2 (Electricity (Technohal)),y2 (kWh)
2026-08-07 20:30:00,0,2026-08-07 20:30:00,0,2026-08-07 20:30:00,115
2026-08-08 00:00:00,0,2026-08-08 00:00:00,0,2026-08-08 00:00:00,1553
2026-08-09 00:00:00,0,2026-08-09 00:00:00,0,2026-08-09 00:00:00,1490
2026-08-10 00:00:00,0,2026-08-10 00:00:00,0,2026-08-10 00:00:00,1730
2026-08-11 00:00:00,0,2026-08-11 00:00:00,0,2026-08-11 00:00:00,1850
2026-08-12 00:00:00,0,2026-08-12 00:00:00,0,2026-08-12 00:00:00,1892
2026-08-13 00:00:00,0,2026-08-13 00:00:00,0,2026-08-13 00:00:00,1736
2026-08-14 00:00:00,0,2026-08-14 00:00:00,0,2026-08-14 00:00:00,1679
2026-08-15 00:00:00,0,2026-08-15 00:00:00,0,2026-08-15 00:00:00,996
2026-08-16 00:00:00,0,2026-08-16 00:00:00,0,2026-08-16 00:00:00,1334
2026-08-17 00:00:00,0,2026-08-17 00:00:00,0,2026-08-17 00:00:00,1730
2026-08-18 00:00:00,0,2026-08-18 00:00:00,0,2026-08-18 00:00:00,1775
2026-08-19 00:00:00,0,2026-08-19 00:00:00,0,2026-08-19 00:00:00,1771
2026-08-20 00:00:00,0,2026-08-20 00:00:00,0,2026-08-20 00:00:00,1906
2026-08-21 00:00:00,0,2026-08-21 00:00:00,0,2026-08-21 00:00:00,1744
2026-08-22 00:00:00,0,2026-08-22 00:00:00,0,2026-08-22 00:00:00,1607
2026-08-23 00:00:00,0,2026-08-23 00:00:00,0,2026-08-23 00:00:00,1500
2026-08-24 00:00:00,0,2026-08-24 00:00:00,0,2026-08-24 00:00:00,2069
2026-08-25 00:00:00,0,2026-08-25 00:00:00,0,2026-08-25 00:00:00,1953
2026-08-26 00:00:00,0,2026-08-26 00:00:00,0,2026-08-26 00:00:00,1975
2026-08-27 00:00:00,0,2026-08-27 00:00:00,0,2026-08-27 00:00:00,2051
2026-08-28 00:00:00,0,2026-08-28 00:00:00,0,2026-08-28 00:00:00,1729
2026-08-29 00:00:00,0,2026-08-29 00:00:00,0,2026-08-29 00:00:00,1373
2026-08-30 00:00:00,0,2026-08-30 00:00:00,0,2026-08-30 00:00:00,1101
2026-08-31 00:00:00,0,2026-08-31 00:00:00,0,2026-08-31 00:00:00,2043
2026-09-01 00:00:00,0,2026-09-01 00:00:00,0,2026-09-01 00:00:00,2170
2026-09-02 00:00:00,0,2026-09-02 00:00:00,0,2026-09-02 00:00:00,2148
2026-09-03 00:00:00,0,2026-09-03 00:00:00,0,2026-09-03 00:00:00,1975
2026-09-04 00:00:00,0,2026-09-04 00:00:00,0,2026-09-04 00:00:00,1782
2026-09-05 00:00:00,0,2026-09-05 00:00:00,0,2026-09-05 00:00:00,1211
2026-09-06 00:00:00,0,2026-09-06 00:00:00,0,2026-09-06 00:00:00,1497
2026-09-07 00:00:00,0,2026-09-07 00:00:00,0,2026-09-07 00:00:00,2159
2026-09-08 00:00:00,0,2026-09-08 00:00:00,0,2026-09-08 00:00:00,160
