x0 (Electricity (U Parkhotel)),y0 (kWh)
2026-08-07 20:30:00,229
2026-08-08 00:00:00,2180
2026-08-09 00:00:00,2394
2026-08-10 00:00:00,2383
2026-08-11 00:00:00,2195
2026-08-12 00:00:00,2380
2026-08-13 00:00:00,2760
2026-08-14 00:00:00,3041
2026-08-15 00:00:00,2450
2026-08-16 00:00:00,2221
2026-08-17 00:00:00,2094
2026-08-18 00:00:00,2163
2026-08-19 00:00:00,2112
2026-08-20 00:00:00,2129
2026-08-21 00:00:00,2087
2026-08-22 00:00:00,2029
2026-08-23 00:00:00,1890
2026-08-24 00:00:00,2196
2026-08-25 00:00:00,2412
2026-08-26 00:00:00,2572
2026-08-27 00:00:00,3100
2026-08-28 00:00:00,2238
2026-08-29 00:00:00,2125
2026-08-30 00:00:00,1903
2026-08-31 00:00:00,2078
2026-09-01 00:00:00,2092
2026-09-02 00:00:00,2070
2026-09-03 00:00:00,2247
2026-09-04 00:00:00,2197
2026-09-05 00:00:00,1994
2026-09-06 00:00:00,1980
2026-09-07 00:00:00,2482
2026-09-08 00:00:00,263
