x0 (Electricity (Zilverling)),y0 (kWh)
2026-08-07 20:30:00,129
2026-08-08 00:00:00,851
2026-08-09 00:00:00,908
2026-08-10 00:00:00,1475
2026-08-11 00:00:00,1469
2026-08-12 00:00:00,1330
2026-08-13 00:00:00,1377
2026-08-14 00:00:00,1399
2026-08-15 00:00:00,969
2026-08-16 00:00:00,852
2026-08-17 00:00:00,1567
2026-08-18 00:00:00,1482
2026-08-19 00:00:00,1528
2026-08-20 00:00:00,1469
2026-08-21 00:00:00,1390
2026-08-22 00:00:00,918
2026-08-23 00:00:00,895
2026-08-24 00:00:00,1535
2026-08-25 00:00:00,1442
2026-08-26 00:00:00,1415
2026-08-27 00:00:00,1449
2026-08-28 00:00:00,1471
2026-08-29 00:00:00,848
2026-08-30 00:00:00,878
2026-08-31 00:00:00,1568
2026-09-01 00:00:00,1622
2026-09-02 00:00:00,1630
2026-09-03 00:00:00,1496
2026-09-04 00:00:00,1454
2026-09-05 00:00:00,880
2026-09-06 00:00:00,833
2026-09-07 00:00:00,1495
2026-09-08 00:00:00,91
